name,gender,total_count
James,M,4924235
John,M,4818746
Robert,M,4703680
Michael,M,4280040
William,M,3811998
Mary,F,3728041
David,M,3541625
Richard,M,2526927
Joseph,M,2467298
Charles,M,2237170
Thomas,M,2209169
Christopher,M,1980717
Daniel,M,1838509
Patricia,F,1567405
Matthew,M,1535407
Elizabeth,F,1490772
Jennifer,F,1460272
Linda,F,1445838
Barbara,F,1422631
Donald,M,1400589
Anthony,M,1381676
Paul,M,1353757
Mark,M,1337534
George,M,1316531
Steven,M,1267733
Kenneth,M,1258091
Andrew,M,1226185
Edward,M,1208595
Joshua,M,1160468
Brian,M,1154168
Kevin,M,1146126
Margaret,F,1120006
Susan,F,1107916
Ronald,M,1072932
Timothy,M,1054028
Dorothy,F,1051262
Jessica,F,1036257
Sarah,F,1006050
Jason,M,1005966
Betty,F,983791
Nancy,F,983374
Karen,F,981409
Jeffrey,M,967716
Lisa,F,961678
Gary,M,895996
Helen,F,894826
Ryan,M,889757
Sandra,F,870181
Nicholas,M,865895
Eric,M,860028
Jacob,M,847905
Stephen,M,844209
Ashley,F,830106
Donna,F,826361
Kimberly,F,824429
Frank,M,816936
Carol,F,811954
Jonathan,M,802025
Michelle,F,801645
Larry,M,800400
Emily,F,779413
Amanda,F,768465
Scott,M,765014
Justin,M,755211
Laura,F,745290
Melissa,F,744479
Raymond,M,743506
Deborah,F,735472
Brandon,M,733556
Stephanie,F,731654
Rebecca,F,728484
Ruth,F,728315
Anna,F,719411
Sharon,F,718112
Kathleen,F,702969
Cynthia,F,702577
Gregory,M,700633
Samuel,M,681058
Shirley,F,679653
Amy,F,672802
Benjamin,M,663857
Patrick,M,654858
Angela,F,653194
Jack,M,633610
Virginia,F,621243
Dennis,M,610508
Catherine,F,605850
Jerry,M,604287
Brenda,F,603563
Alexander,M,596539
Katherine,F,593004
Pamela,F,591193
Nicole,F,576131
Christine,F,573761
Henry,M,570142
Tyler,M,562300
Walter,M,557213
Peter,M,553422
Douglas,M,552582
Janet,F,550385
Samantha,F,548181
Debra,F,547670
Carolyn,F,547665
Rachel,F,544826
Aaron,M,541626
Jose,M,533509
Frances,F,529027
Harold,M,524787
Adam,M,523320
Heather,F,521581
Maria,F,521058
Diane,F,514742
Zachary,M,511480
Nathan,M,503753
Joyce,F,502329
Julie,F,501917
Evelyn,F,496320
Emma,F,492653
Martha,F,490102
Carl,M,476806
Joan,F,475496
Arthur,M,472842
Alice,F,467668
Kelly,F,467047
Kyle,M,466929
Christina,F,466156
Marie,F,461275
Lauren,F,454889
Ann,F,449173
Doris,F,448027
Victoria,F,447472
Judith,F,446749
Jean,F,445898
Gerald,M,441420
Albert,M,439947
Lawrence,M,438801
Cheryl,F,436702
Roger,M,433889
Megan,F,431868
Keith,M,429862
Kathryn,F,429530
Jeremy,M,423462
Joe,M,421847
Andrea,F,419210
Terry,M,418204
Jacqueline,F,414458
Rose,F,411652
Willie,M,410924
Sean,M,408264
Gloria,F,406196
Teresa,F,404846
Sara,F,404174
Julia,F,402376
Janice,F,401873
